naslov,leto,oskar,stevilo
The Cider House Rules,1999,FALSE,5
The Cider House Rules,1999,TRUE,2
Topsy-Turvy,1999,FALSE,2
Topsy-Turvy,1999,TRUE,2
Sleepy Hollow,1999,FALSE,2
Sleepy Hollow,1999,TRUE,1
Boys Don't Cry,1999,FALSE,1
Boys Don't Cry,1999,TRUE,1
Tarzan,1999,FALSE,0
Tarzan,1999,TRUE,1
One Day in September,1999,FALSE,0
One Day in September,1999,TRUE,1
The Red Violin (Le violon rouge),1999,FALSE,0
The Red Violin (Le violon rouge),1999,TRUE,1
The Old Man and the Sea,1999,FALSE,0
The Old Man and the Sea,1999,TRUE,1
My Mother Dreams the Satan's Disciples in New York,1999,FALSE,0
My Mother Dreams the Satan's Disciples in New York,1999,TRUE,1
King Gimp,1999,FALSE,0
King Gimp,1999,TRUE,1
"Girl, Interrupted",1999,FALSE,0
"Girl, Interrupted",1999,TRUE,1
All About My Mother (Todo sobre mi madre),1999,FALSE,0
All About My Mother (Todo sobre mi madre),1999,TRUE,1
Shakespeare in Love,1998,FALSE,6
Shakespeare in Love,1998,TRUE,7
Saving Private Ryan,1998,FALSE,6
Saving Private Ryan,1998,TRUE,5
Life Is Beautiful (La vita è bella),1998,FALSE,4
Life Is Beautiful (La vita è bella),1998,TRUE,3
Elizabeth,1998,FALSE,6
Elizabeth,1998,TRUE,1
Gods and Monsters,1998,FALSE,2
