naslov,leto,oskar,stevilo
Ghost,1990,False,3
Ghost,1990,True,2
Giant,1956,False,9
Giant,1956,True,1
Gigi,1958,False,0
Gigi,1958,True,9
"Girl, Interrupted",1999,False,0
"Girl, Interrupted",1999,True,1
Giuseppina,1960,False,0
Giuseppina,1960,True,1
Give Me Liberty,1936,False,0
Give Me Liberty,1936,True,1
Gladiator,2000,False,7
Gladiator,2000,True,5
Glass,1959,False,0
Glass,1959,True,1
Glory,1989,False,2
Glory,1989,True,3
God of Love,2010,False,0
God of Love,2010,True,1
Gods and Monsters,1998,False,2
Gods and Monsters,1998,True,1
Godzilla Minus One,2023,False,0
Godzilla Minus One,2023,True,1
Going My Way,1944,False,3
Going My Way,1944,True,7
Gold Diggers of 1935,1935,False,1
Gold Diggers of 1935,1935,True,1
Goldfinger,1964,False,0
Goldfinger,1964,True,1
Gone with the Wind,1939,False,5
Gone with the Wind,1939,True,8
Good Will Hunting,1997,False,7
Good Will Hunting,1997,True,2
"Goodbye, Miss Turlock",1947,False,0
"Goodbye, Miss Turlock",1947,True,1
"Goodbye, Mr. Chips",1939,False,6
"Goodbye, Mr. Chips",1939,True,1
Goodfellas,1990,False,5
Goodfellas,1990,True,1
Gosford Park,2001,False,6
Gosford Park,2001,True,1
Grand Canyon,1958,False,0
Grand Canyon,1958,True,1
Grand Hotel,1931,False,0
Grand Hotel,1931,True,1
Grand Prix,1966,False,0
Grand Prix,1966,True,3
Grandad of Races,1950,False,0
Grandad of Races,1950,True,1
Gravity,2013,False,3
Gravity,2013,True,7
Gravity Is My Enemy,1977,False,0
Gravity Is My Enemy,1977,True,1
Great,1975,False,0
Great,1975,True,1
Great Expectations,1947,False,3
Great Expectations,1947,True,2
Green Book,2018,False,2
Green Book,2018,True,3
Green Dolphin Street,1947,False,3
Green Dolphin Street,1947,True,1
Guess Who's Coming to Dinner,1967,False,8
Guess Who's Coming to Dinner,1967,True,2
Guillermo del Toro's Pinocchio,2022,False,0
Guillermo del Toro's Pinocchio,2022,True,1
Hacksaw Ridge,2016,False,4
Hacksaw Ridge,2016,True,2
Hair Love,2019,False,0
Hair Love,2019,True,1
Hamlet,1948,False,3
Hamlet,1948,True,4
Hannah and Her Sisters,1986,False,4
Hannah and Her Sisters,1986,True,3
Happy Anniversary,1962,False,0
Happy Anniversary,1962,True,1
Happy Feet,2006,False,0
Happy Feet,2006,True,1
"Harlan County, USA",1976,False,0
"Harlan County, USA",1976,True,1
Harry and Tonto,1974,False,1
Harry and Tonto,1974,True,1
Harry and the Hendersons,1987,False,0
Harry and the Hendersons,1987,True,1
Harvey,1950,False,1
Harvey,1950,True,1
Harvie Krumpet,2003,False,0
Harvie Krumpet,2003,True,1
He Makes Me Feel Like Dancin',1983,False,0
He Makes Me Feel Like Dancin',1983,True,1
Hearts and Minds,1974,False,0
Hearts and Minds,1974,True,1
Heaven Can Wait,1978,False,8
Heaven Can Wait,1978,True,1
Heaven Is a Traffic Jam on the 405,2017,False,0
Heaven Is a Traffic Jam on the 405,2017,True,1
Heavenly Music,1943,False,0
Heavenly Music,1943,True,1
Helen Keller in Her Story,1955,False,0
Helen Keller in Her Story,1955,True,1
Helium,2013,False,0
Helium,2013,True,1
"Hello, Dolly!",1969,False,4
"Hello, Dolly!",1969,True,3
"Hello, Frisco, Hello",1943,False,1
"Hello, Frisco, Hello",1943,True,1
Henry V,1946,False,4
Henry V,1946,True,0
Henry V,1989,False,2
Henry V,1989,True,1
Her,2013,False,4
Her,2013,True,1
Here Comes Mr. Jordan,1941,False,5
Here Comes Mr. Jordan,1941,True,2
Here Comes the Groom,1951,False,1
